pore_id,pore_volume_m3,pore_radius_m,pore_shape_factor,pore_clay_volume
1,1.274423e-12,4.525547e-05,0.02447105,0.0
2,7.922696e-13,4.414367e-05,0.01844283,0.0
3,4.106122e-13,3.951927e-05,0.02963257,0.0
4,8.195999e-13,3.915735e-05,0.0327164,0.0
5,4.240248e-13,3.922317e-05,0.03632309,0.0
6,5.982579e-13,3.800744e-05,0.02834759,0.0
7,5.509513e-13,3.706585e-05,0.03408694,0.0
8,9.858863e-13,3.642808e-05,0.03616365,0.0
9,6.028239e-13,3.73223e-05,0.03581819,0.0
10,6.075875e-13,3.72564e-05,0.03182254,0.0
11,7.165572e-13,3.783617e-05,0.05423242,0.0
12,4.867197e-13,3.626392e-05,0.02421401,0.0
13,7.014981e-13,3.699127e-05,0.02800101,0.0
14,4.246834e-13,3.667842e-05,0.0322855,0.0
15,7.499681e-13,3.594829e-05,0.03089188,0.0
16,8.303344e-13,3.546106e-05,0.02322105,0.0
17,7.641491e-13,3.643484e-05,0.02875093,0.0
18,2.81732e-13,3.544885e-05,0.03476225,0.0
19,7.941575e-13,3.566817e-05,0.03443188,0.0
20,5.273309e-13,3.575983e-05,0.02801942,0.0
21,4.778292e-13,3.539855e-05,0.0269367,0.0
22,6.382764e-13,3.541545e-05,0.02925176,0.0
23,6.80973e-13,3.455688e-05,0.03503402,0.0
24,2.08544e-13,3.480382e-05,0.02095792,0.0
25,8.168998e-13,3.500156e-05,0.02765814,0.0
26,8.428031e-13,3.492565e-05,0.02663761,0.0
27,5.411168e-13,3.402671e-05,0.03665592,0.0
28,4.339691e-13,3.382307e-05,0.03047234,0.0
29,6.475181e-13,3.39333e-05,0.02853581,0.0
30,2.306058e-13,3.429059e-05,0.02871045,0.0
31,7.071837e-13,3.359825e-05,0.02829998,0.0
32,3.620104e-13,3.326704e-05,0.03582816,0.0
33,4.301275e-13,3.359924e-05,0.02590084,0.0
34,6.980516e-13,3.288444e-05,0.02187295,0.0
35,3.093256e-13,3.262795e-05,0.02935763,0.0
36,1.606886e-13,3.260971e-05,0.02589984,0.0
37,5.466926e-13,3.269546e-05,0.03009732,0.0
38,4.656239e-13,3.283577e-05,0.03573896,0.0
39,3.193138e-13,3.21816e-05,0.0334785,0.0
40,5.51083e-13,3.266647e-05,0.02174019,0.0
41,3.239237e-13,3.187163e-05,0.03249163,0.0
42,9.590609e-13,3.208069e-05,0.03865108,0.0
43,6.372227e-13,3.174995e-05,0.03234214,0.0
44,4.554381e-13,3.119068e-05,0.02491587,0.0
45,2.854419e-13,3.230569e-05,0.03588816,0.0
46,5.0854e-13,3.190424e-05,0.03609418,0.0
47,5.265846e-13,3.08785e-05,0.03206726,0.0
48,3.933579e-13,3.117844e-05,0.04189555,0.0
49,4.757657e-13,3.102956e-05,0.03938845,0.0
50,5.074205e-13,3.37083e-05,0.03134121,0.0
51,2.953642e-13,3.138805e-05,0.03220762,0.0
52,3.189845e-13,3.175881e-05,0.03973639,0.0
53,4.215443e-13,3.082199e-05,0.0305259,0.0
54,4.153099e-13,3.046226e-05,0.03036043,0.0
55,3.426268e-13,3.122518e-05,0.03089087,0.0
56,3.046279e-13,3.000659e-05,0.035001,0.0
57,2.219567e-13,3.008425e-05,0.03129999,0.0
58,2.815783e-13,2.996517e-05,0.02564629,0.0
59,3.238359e-13,2.977692e-05,0.03893769,0.0
60,2.71195e-13,2.952391e-05,0.02600522,0.0
61,1.314047e-13,3.013158e-05,0.04211322,0.0
62,5.291969e-13,3.015142e-05,0.03535135,0.0
63,1.775697e-13,2.95134e-05,0.03610599,0.0
64,4.09778e-13,2.906462e-05,0.03445365,0.0
65,2.293106e-13,2.972834e-05,0.0383434,0.0
66,4.437377e-13,2.943357e-05,0.02556484,0.0
67,3.481368e-13,2.929754e-05,0.04123775,0.0
68,2.942666e-13,2.880607e-05,0.02376335,0.0
69,2.494845e-13,2.978751e-05,0.02850403,0.0
70,3.149453e-13,2.947468e-05,0.03080005,0.0
71,2.794929e-13,2.851854e-05,0.03591919,0.0
72,5.846696e-13,2.826218e-05,0.03654586,0.0
73,1.899068e-13,2.884651e-05,0.03478471,0.0
74,8.758848e-14,2.794997e-05,0.04408501,0.0
75,2.632703e-13,2.801697e-05,0.03076003,0.0
76,2.612288e-13,2.806425e-05,0.03344012,0.0
77,2.78066e-13,2.781651e-05,0.02431436,0.0
78,2.921811e-13,2.822427e-05,0.03794299,0.0
79,4.297104e-13,2.784061e-05,0.02696033,0.0
80,3.29741e-13,2.787986e-05,0.04325398,0.0
81,1.320632e-13,2.694253e-05,0.02302832,0.0
82,2.426135e-13,2.845064e-05,0.03243699,0.0
83,4.01985e-13,2.836557e-05,0.03250518,0.0
84,2.082147e-13,2.778833e-05,0.02665367,0.0
85,1.154017e-13,2.804256e-05,0.04000743,0.0
86,3.286214e-13,2.737393e-05,0.02936573,0.0
87,3.214651e-13,2.8564e-05,0.02882199,0.0
88,5.236869e-13,2.871253e-05,0.02909722,0.0
89,2.10388e-13,2.736524e-05,0.03178846,0.0
90,2.605263e-13,2.653458e-05,0.03937779,0.0
91,1.200116e-13,2.84055e-05,0.03299714,0.0
92,2.527773e-13,2.767582e-05,0.03013654,0.0
93,1.10682e-13,2.744189e-05,0.0507874,0.0
94,2.59758e-13,2.602801e-05,0.04055304,0.0
95,4.581821e-13,2.65595e-05,0.02267003,0.0
96,1.283753e-13,2.626324e-05,0.03423525,0.0
97,1.372439e-13,2.686251e-05,0.02472763,0.0
98,2.56575e-13,2.670736e-05,0.02944711,0.0
99,1.86131e-13,2.590711e-05,0.03251816,0.0
100,8.526157e-14,2.558365e-05,0.02463974,0.0
101,3.771354e-13,2.655689e-05,0.03325928,0.0
102,1.685694e-13,2.619939e-05,0.02803644,0.0
103,2.65707e-13,2.583865e-05,0.02782648,0.0
104,2.292886e-13,2.682676e-05,0.03314299,0.0
105,2.759366e-13,2.640691e-05,0.02850308,0.0
106,2.003998e-13,2.640215e-05,0.02807552,0.0
107,2.89042e-13,2.643574e-05,0.05389168,0.0
108,1.580105e-13,2.641142e-05,0.02824149,0.0
109,2.839272e-13,2.628053e-05,0.03071711,0.0
110,1.755721e-13,2.586543e-05,0.04829895,0.0
111,1.464198e-13,2.591549e-05,0.02736559,0.0
112,1.713573e-13,2.601321e-05,0.02866108,0.0
113,2.790319e-13,2.495438e-05,0.03308688,0.0
114,1.924093e-13,2.585083e-05,0.03476824,0.0
115,1.498004e-13,2.514497e-05,0.03900204,0.0
116,2.232079e-13,2.523919e-05,0.03626901,0.0
117,2.485186e-13,2.458946e-05,0.03140123,0.0
118,1.712476e-13,2.554864e-05,0.03088271,0.0
119,3.554029e-14,2.456961e-05,0.03770683,0.0
120,2.285642e-13,2.4541e-05,0.04192148,0.0
121,5.752083e-13,2.453849e-05,0.04149537,0.0
122,5.185282e-13,2.514849e-05,0.03101172,0.0
123,1.917946e-13,2.448296e-05,0.03330916,0.0
124,1.61457e-13,2.432265e-05,0.03032871,0.0
125,1.320413e-13,2.526733e-05,0.03569588,0.0
126,2.001364e-13,2.764255e-05,0.03117211,0.0
127,2.114856e-13,2.453313e-05,0.03231567,0.0
128,2.684291e-13,2.418863e-05,0.02422055,0.0
129,2.045268e-13,2.565233e-05,0.02905297,0.0
130,2.818417e-13,2.444936e-05,0.02707365,0.0
131,1.48176e-13,2.505182e-05,0.0308502,0.0
132,2.461917e-13,2.45206e-05,0.03558443,0.0
133,1.7746e-13,2.483522e-05,0.03123419,0.0
134,1.263777e-13,2.455949e-05,0.03933966,0.0
135,2.837296e-13,2.45016e-05,0.02113827,0.0
136,2.220006e-13,2.450282e-05,0.03824224,0.0
137,2.461039e-13,2.375881e-05,0.04394013,0.0
138,1.779649e-13,2.376477e-05,0.02952718,0.0
139,2.038463e-13,2.364282e-05,0.04006324,0.0
140,2.048341e-13,2.350581e-05,0.04223995,0.0
141,1.681962e-13,2.400477e-05,0.03257509,0.0
142,2.139661e-13,2.320291e-05,0.02612702,0.0
143,1.383196e-13,2.388234e-05,0.02727239,0.0
144,1.553543e-13,2.639213e-05,0.037253,0.0
145,1.713134e-13,2.326906e-05,0.03147463,0.0
146,2.871761e-13,2.378502e-05,0.03377205,0.0
147,2.530846e-13,2.380333e-05,0.02590262,0.0
148,2.136369e-13,2.39342e-05,0.02857419,0.0
149,1.951752e-13,2.353455e-05,0.02902189,0.0
150,7.369286e-14,2.392987e-05,0.04372528,0.0
151,2.106733e-13,2.41715e-05,0.04442769,0.0
152,1.128552e-13,2.324998e-05,0.04955285,0.0
153,1.718622e-13,2.365336e-05,0.02562905,0.0
154,6.126803e-14,2.373407e-05,0.03279161,0.0
155,1.617643e-13,2.34373e-05,0.03025958,0.0
156,2.336132e-13,2.281562e-05,0.03326578,0.0
157,2.16798e-13,2.278602e-05,0.02363596,0.0
158,1.961411e-13,2.585577e-05,0.03531142,0.0
159,1.970631e-13,2.286573e-05,0.02017994,0.0
160,2.92247e-13,2.329907e-05,0.02530568,0.0
161,1.831675e-13,2.287971e-05,0.02389053,0.0
162,1.060721e-13,2.273674e-05,0.03309891,0.0
163,2.594068e-13,2.302524e-05,0.03178875,0.0
164,1.590203e-13,2.337891e-05,0.02566806,0.0
165,1.854066e-13,2.282212e-05,0.02904471,0.0
166,1.778332e-13,2.2198e-05,0.04672824,0.0
167,2.613386e-13,2.217878e-05,0.04760239,0.0
168,1.548055e-13,2.169311e-05,0.02954432,0.0
169,2.050756e-13,2.190636e-05,0.0258837,0.0
170,1.0976e-13,2.278817e-05,0.03297811,0.0
171,1.32151e-13,2.249271e-05,0.03888246,0.0
172,3.268872e-13,2.301462e-05,0.03337546,0.0
173,1.280241e-13,2.245136e-05,0.03082021,0.0
174,1.691841e-13,2.268885e-05,0.03239871,0.0
175,1.105064e-13,2.257319e-05,0.03664513,0.0
176,3.773549e-13,2.247916e-05,0.02738144,0.0
177,1.438954e-13,2.340573e-05,0.03101929,0.0
178,1.72411e-13,2.446504e-05,0.0322557,0.0
179,1.206921e-13,2.300879e-05,0.03357825,0.0
180,3.007204e-13,2.213468e-05,0.02571456,0.0
181,1.841334e-13,2.282308e-05,0.03440214,0.0
182,2.930812e-13,2.163645e-05,0.02165192,0.0
183,7.151962e-14,2.17504e-05,0.04217746,0.0
184,1.00145e-13,2.117452e-05,0.03664613,0.0
185,1.654303e-13,2.212432e-05,0.02933489,0.0
186,1.147212e-13,2.148125e-05,0.03605721,0.0
187,1.209775e-13,2.220539e-05,0.02557538,0.0
188,1.283533e-13,2.122793e-05,0.02906357,0.0
189,1.924532e-13,2.256231e-05,0.02166206,0.0
190,1.672523e-13,2.259934e-05,0.03641545,0.0
191,1.011109e-13,2.102726e-05,0.03285607,0.0
192,1.064013e-13,2.21125e-05,0.03608105,0.0
193,1.447076e-13,2.139543e-05,0.02951858,0.0
194,1.506346e-13,2.140982e-05,0.02964451,0.0
195,2.148881e-13,2.387379e-05,0.0270464,0.0
196,2.18598e-13,2.142528e-05,0.04990689,0.0
197,1.626643e-13,2.103786e-05,0.02481204,0.0
198,1.049964e-13,2.061766e-05,0.03282271,0.0
199,1.552006e-13,2.073857e-05,0.035381,0.0
200,3.51232e-14,2.078e-05,0.024198,0.0
201,6.552672e-14,2.177522e-05,0.02185933,0.0
202,5.637274e-14,2.155857e-05,0.02200576,0.0
203,1.794137e-13,2.132033e-05,0.02591767,0.0
204,2.178736e-13,2.151914e-05,0.03866806,0.0
205,7.896134e-14,2.145281e-05,0.02908331,0.0
206,1.437197e-13,2.141632e-05,0.0214175,0.0
207,1.091234e-13,2.100553e-05,0.02700787,0.0
208,1.828163e-13,2.051848e-05,0.02761345,0.0
209,1.620058e-13,2.134519e-05,0.03425876,0.0
210,5.369459e-14,2.055042e-05,0.02862338,0.0
211,1.244239e-13,2.013522e-05,0.02212651,0.0
212,1.126796e-13,2.022706e-05,0.03294465,0.0
213,1.226678e-13,2.321772e-05,0.0309058,0.0
214,1.016817e-13,2.044119e-05,0.03314011,0.0
215,1.904556e-13,2.136524e-05,0.02176325,0.0
216,1.35378e-13,2.128382e-05,0.04229756,0.0
217,5.329946e-14,2.119476e-05,0.04070813,0.0
218,2.216054e-13,2.120323e-05,0.03327549,0.0
219,9.511802e-14,2.126993e-05,0.02699021,0.0
220,8.440544e-14,2.101273e-05,0.03542733,0.0
221,1.017036e-13,1.987256e-05,0.02956631,0.0
222,2.345352e-13,2.064149e-05,0.04127069,0.0
223,1.843968e-13,2.067094e-05,0.0364942,0.0
224,1.25324e-13,1.927265e-05,0.03539936,0.0
225,8.581037e-14,2.080175e-05,0.03775374,0.0
226,2.187517e-13,1.980304e-05,0.04359463,0.0
227,7.292454e-14,2.017736e-05,0.02919886,0.0
228,1.541908e-13,1.98107e-05,0.02709685,0.0
229,3.147917e-14,2.029927e-05,0.03222843,0.0
230,8.624941e-14,1.993146e-05,0.04134754,0.0
231,1.141724e-13,2.232916e-05,0.02622189,0.0
232,1.369805e-13,2.050103e-05,0.03094411,0.0
233,1.082014e-13,2.064443e-05,0.0325968,0.0
234,1.168285e-13,2.082192e-05,0.02804064,0.0
235,9.265939e-14,1.979875e-05,0.03804346,0.0
236,1.510517e-13,1.949004e-05,0.02113306,0.0
237,2.311985e-13,1.993966e-05,0.03140557,0.0
238,8.34176e-14,1.973418e-05,0.0245424,0.0
239,8.480058e-14,1.912641e-05,0.03420368,0.0
240,9.21545e-14,2.032086e-05,0.03472455,0.0
241,8.124435e-14,1.934869e-05,0.02639802,0.0
242,3.547443e-14,1.980246e-05,0.05229374,0.0
243,4.783341e-14,1.987341e-05,0.05363333,0.0
244,1.122406e-13,1.976251e-05,0.03427273,0.0
245,1.552226e-13,1.994848e-05,0.03393488,0.0
246,1.116259e-13,1.886168e-05,0.02306846,0.0
247,1.111649e-13,1.941439e-05,0.03442059,0.0
248,1.137772e-13,1.972359e-05,0.03326453,0.0
249,2.313302e-13,1.969805e-05,0.04562075,0.0
250,9.257158e-14,1.969191e-05,0.02886662,0.0
251,6.438522e-14,1.889034e-05,0.03046431,0.0
252,3.156698e-14,1.939171e-05,0.02465028,0.0
253,7.608563e-14,1.905854e-05,0.02752698,0.0
254,1.242703e-13,1.863029e-05,0.03838235,0.0
255,8.600794e-14,1.919281e-05,0.0229179,0.0
256,1.01967e-13,1.867925e-05,0.0317324,0.0
257,5.455072e-14,1.917035e-05,0.04437475,0.0
258,9.369114e-14,1.908317e-05,0.03998328,0.0
259,5.169696e-14,1.894353e-05,0.02997728,0.0
260,4.680166e-14,1.939293e-05,0.03418709,0.0
261,4.855782e-14,1.836265e-05,0.03472749,0.0
262,1.100234e-13,1.849594e-05,0.0326994,0.0
263,9.805958e-14,1.889177e-05,0.02280667,0.0
264,4.368448e-14,1.831257e-05,0.03345268,0.0
265,1.533347e-13,2.045778e-05,0.03333082,0.0
266,7.760032e-14,1.876306e-05,0.02451587,0.0
267,9.184717e-14,1.908066e-05,0.02769803,0.0
268,8.161754e-14,1.819814e-05,0.02664015,0.0
269,1.226019e-13,1.845106e-05,0.0272228,0.0
270,9.66327e-14,2.010859e-05,0.03266443,0.0
271,1.031085e-13,1.748061e-05,0.03566656,0.0
272,5.573613e-14,1.847821e-05,0.03432199,0.0
273,5.852403e-14,1.865578e-05,0.02462733,0.0
274,1.035256e-13,1.851726e-05,0.02815409,0.0
275,8.508595e-14,1.872888e-05,0.02839808,0.0
276,4.153318e-14,1.803585e-05,0.04309457,0.0
277,9.961818e-14,1.785864e-05,0.04973862,0.0
278,9.696198e-14,1.806781e-05,0.03425958,0.0
279,6.089485e-14,1.828073e-05,0.02314042,0.0
280,8.688602e-14,1.857079e-05,0.03235145,0.0
281,1.249069e-13,1.847451e-05,0.01975345,0.0
282,3.325728e-14,1.681806e-05,0.02281917,0.0
283,5.505562e-14,1.805522e-05,0.02055639,0.0
284,1.12065e-13,1.824181e-05,0.03012098,0.0
285,1.264874e-13,1.827153e-05,0.0334871,0.0
286,5.578003e-14,1.831039e-05,0.02963236,0.0
287,1.558812e-13,1.777345e-05,0.05522394,0.0
288,1.176847e-13,1.837968e-05,0.03873944,0.0
289,9.724736e-14,1.814993e-05,0.02585442,0.0
290,7.713933e-14,1.66516e-05,0.03690655,0.0
291,4.750413e-14,1.722791e-05,0.03953329,0.0
292,1.122406e-13,1.783986e-05,0.04285825,0.0
293,5.119206e-14,1.711935e-05,0.02953228,0.0
294,7.90272e-14,1.784938e-05,0.0300673,0.0
295,1.003645e-13,1.833718e-05,0.02508263,0.0
296,8.032237e-14,1.700241e-05,0.03197686,0.0
297,1.384732e-13,1.695477e-05,0.02852583,0.0
298,1.027573e-13,1.679697e-05,0.06434115,0.0
299,8.515181e-14,1.715134e-05,0.02823874,0.0
300,5.81728e-14,1.684298e-05,0.03780414,0.0
301,4.945786e-14,1.751906e-05,0.02576801,0.0
302,4.478208e-14,1.711746e-05,0.02652852,0.0
303,5.705325e-14,1.707977e-05,0.04447116,0.0
304,9.902547e-14,1.780389e-05,0.03546346,0.0
305,5.613126e-14,1.792687e-05,0.0315283,0.0
306,5.700934e-14,1.757856e-05,0.03196851,0.0
307,1.789308e-13,2.031761e-05,0.02862225,0.0
308,7.255136e-14,1.710201e-05,0.03986078,0.0
309,6.849024e-14,1.789639e-05,0.03451318,0.0
310,5.685568e-14,1.811015e-05,0.03732429,0.0
311,9.140813e-14,1.721971e-05,0.02931268,0.0
312,9.645709e-14,1.910404e-05,0.03721099,0.0
313,7.619539e-14,1.672987e-05,0.03107283,0.0
314,2.425696e-14,1.62183e-05,0.04097784,0.0
315,3.56281e-14,1.637448e-05,0.02454441,0.0
316,1.157309e-13,1.778706e-05,0.03166507,0.0
317,5.334336e-14,1.630991e-05,0.03328473,0.0
318,4.72407e-14,1.696203e-05,0.03002372,0.0
319,5.779962e-14,1.68407e-05,0.03034923,0.0
320,4.601139e-14,1.691948e-05,0.04298115,0.0
321,7.316602e-14,1.643282e-05,0.03218806,0.0
322,4.877734e-14,1.625527e-05,0.03166046,0.0
323,1.201213e-13,1.715077e-05,0.02265211,0.0
324,3.918432e-14,1.66191e-05,0.02853586,0.0
325,3.475002e-14,1.638705e-05,0.03267066,0.0
326,6.052166e-14,1.656737e-05,0.03330668,0.0
327,9.116666e-14,1.640939e-05,0.05162916,0.0
328,5.720691e-14,1.69076e-05,0.02762233,0.0
329,4.895296e-14,1.735796e-05,0.03254099,0.0
330,8.881779e-14,1.8157e-05,0.03608942,0.0
331,1.670108e-13,1.684707e-05,0.03586497,0.0
332,8.104678e-14,1.654287e-05,0.0228508,0.0
333,4.137952e-14,1.636602e-05,0.03277366,0.0
334,4.012826e-14,1.67003e-05,0.04268546,0.0
335,6.236563e-14,1.612979e-05,0.04131311,0.0
336,1.087722e-13,1.66105e-05,0.02310128,0.0
337,5.286042e-14,1.626371e-05,0.02281987,0.0
338,4.875539e-14,1.64166e-05,0.03615247,0.0
339,1.187603e-13,1.619174e-05,0.0416324,0.0
340,6.486816e-14,1.697768e-05,0.0325471,0.0
341,7.296845e-14,1.650474e-05,0.03285765,0.0
342,1.025158e-13,1.627773e-05,0.02347954,0.0
343,6.598771e-14,1.635369e-05,0.02820005,0.0
344,9.535949e-14,1.607261e-05,0.02913289,0.0
345,2.763757e-14,1.609902e-05,0.03385289,0.0
346,5.134573e-14,1.54567e-05,0.04562527,0.0
347,7.285869e-14,1.624826e-05,0.02492636,0.0
348,2.658387e-14,1.539633e-05,0.02879285,0.0
349,4.063315e-14,1.594091e-05,0.03141261,0.0
350,6.939027e-14,1.668737e-05,0.03222149,0.0
351,3.433293e-14,1.617842e-05,0.03542989,0.0
352,5.474829e-14,1.586152e-05,0.04662366,0.0
353,9.59961e-14,1.591253e-05,0.02479589,0.0
354,4.82505e-14,1.672796e-05,0.01804819,0.0
355,5.905088e-14,1.539289e-05,0.04318309,0.0
356,7.088301e-14,1.484709e-05,0.02851044,0.0
357,6.462669e-14,1.546336e-05,0.02846669,0.0
358,5.940211e-14,1.561574e-05,0.03282037,0.0
359,5.775571e-14,1.578683e-05,0.04950491,0.0
360,3.944774e-14,1.525718e-05,0.03092302,0.0
361,5.246528e-14,1.504521e-05,0.04548194,0.0
362,4.407962e-14,1.521925e-05,0.02512019,0.0
363,8.56567e-14,1.525617e-05,0.03739434,0.0
364,3.51671e-14,1.506774e-05,0.03235161,0.0
365,9.744493e-14,1.60221e-05,0.03452415,0.0
366,7.026835e-14,1.514425e-05,0.02365482,0.0
367,5.277261e-14,1.508374e-05,0.0170783,0.0
368,7.871987e-14,1.714898e-05,0.03562577,0.0
369,8.034432e-14,1.572139e-05,0.03390725,0.0
370,3.832819e-14,1.572209e-05,0.04470631,0.0
371,6.686579e-14,1.537255e-05,0.04524963,0.0
372,3.000838e-14,1.528869e-05,0.03185945,0.0
373,4.377229e-14,1.466875e-05,0.03102836,0.0
374,7.061958e-14,1.809309e-05,0.02709511,0.0
375,4.370643e-14,1.547406e-05,0.02288408,0.0
376,5.472634e-14,1.556058e-05,0.03538916,0.0
377,4.087462e-14,1.524794e-05,0.04115489,0.0
378,4.838221e-14,1.574359e-05,0.02737611,0.0
379,4.873344e-14,1.572829e-05,0.03041347,0.0
380,7.909306e-14,1.546053e-05,0.03642551,0.0
381,7.143181e-14,1.479959e-05,0.04459798,0.0
382,8.306637e-14,1.43631e-05,0.03763224,0.0
383,8.339565e-14,1.549201e-05,0.03913324,0.0
384,1.006719e-13,1.555702e-05,0.01853676,0.0
385,5.722886e-14,1.395439e-05,0.03206569,0.0
386,4.932614e-14,1.419738e-05,0.02367426,0.0
387,7.013664e-14,1.429651e-05,0.02030928,0.0
388,2.287398e-14,1.509308e-05,0.03652401,0.0
389,2.236909e-14,1.666592e-05,0.03970431,0.0
390,9.904742e-14,1.509309e-05,0.02237575,0.0
391,2.30935e-14,1.403421e-05,0.04417464,0.0
392,4.875539e-14,1.468995e-05,0.04701804,0.0
393,3.275238e-14,1.523912e-05,0.03481311,0.0
394,2.882298e-14,1.401004e-05,0.05399389,0.0
395,8.390054e-14,1.430767e-05,0.04166364,0.0
396,5.031398e-14,1.508209e-05,0.03253419,0.0
397,6.53511e-14,1.405947e-05,0.02223551,0.0
398,5.180672e-14,1.386428e-05,0.02410618,0.0
399,2.882298e-14,1.507677e-05,0.02722432,0.0
400,6.023629e-14,1.533202e-05,0.03805947,0.0
401,1.083331e-13,1.454302e-05,0.03936774,0.0
402,3.683546e-14,1.423954e-05,0.03448775,0.0
403,4.118195e-14,1.501999e-05,0.03306692,0.0
404,1.462003e-14,1.480806e-05,0.03429009,0.0
405,2.41033e-14,1.480071e-05,0.03154436,0.0
406,9.505216e-15,1.459747e-05,0.03515752,0.0
407,4.517722e-14,1.506689e-05,0.02796762,0.0
408,2.155686e-14,1.452048e-05,0.03255154,0.0
409,7.031226e-14,1.506289e-05,0.03337645,0.0
410,2.568384e-14,1.335778e-05,0.04111813,0.0
411,5.286042e-14,1.590153e-05,0.03159703,0.0
412,5.472634e-14,1.399833e-05,0.02583739,0.0
413,5.189453e-14,1.341586e-05,0.03020892,0.0
414,7.762227e-14,1.419477e-05,0.04084607,0.0
415,4.50455e-14,1.496225e-05,0.0297254,0.0
416,4.260883e-14,1.415779e-05,0.02496724,0.0
417,3.139136e-14,1.530644e-05,0.05795283,0.0
418,1.274094e-13,1.440306e-05,0.05064378,0.0
419,3.158893e-14,1.471944e-05,0.0250661,0.0
420,3.655008e-14,1.389778e-05,0.02065817,0.0
421,4.662605e-14,1.311178e-05,0.0703793,0.0
422,2.155686e-14,1.376852e-05,0.04576702,0.0
423,5.536294e-14,1.358207e-05,0.038722,0.0
424,5.93143e-14,1.281587e-05,0.03042498,0.0
425,6.052166e-14,1.387754e-05,0.0378261,0.0
426,1.042281e-13,1.421338e-05,0.03297302,0.0
